code_new,name_el,code_old_ei,code_old_taep,valid_for_ae,registration_fee_eur,fee_status,note_el,tariff_applies,registration_deposit_eur,fee_source,previous_registration_fee_eur,monada_table_taep_fee,fee_conflict
629,ΣΧΕΔΙΟ ΕΣΤΙΑ,166,166,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
630,EOA & ΑΝΑΘΕΩΡΙΤΚΟ ΣΥΜΒΟΥΛΙΟ,,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
631,ΔΙΑΤΡΟΦΙΚΑ ΣΚΕΥΑΣΜΑΤΑ,1,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
632,ΙΔΙΩΤΙΚΑ ΙΔΡΥΜΑΤΑ,501,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
633,ΟΔΟΝΤ ΥΠ - ΧΩΡΙΣ ΤΝ,,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
634,ΟΔΟΝΤ ΥΠ - ΤΝ,,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
635,ΟΔΟΝΤ ΥΠ - ΤΝ ΟΛΑ ΔΩΡΕΑΝ,109,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
636,ΙΑΤΡΙΚΕΣ ΥΠΗΡΕΣΙΕΣ Υ.Υ.,4,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
637,ΙΑΤΡΙΚΕΣ ΥΠΗΡΕΣΙΕΣ Υ.Υ. - ΚΑΡΤΑ ΝΟΣΗΛΕΙΑΣ Υ.Υ.,1,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,Δεν εφαρμοζεται,FALSE
640,ΒΡΕΤΑΝΙΚΕΣ ΒΑΣΕΙΣ,,,TRUE,0.00,SET,,TRUE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
641,ΑΣΤΥΝΟΜΙΚΗ ΒΕΒΑΙΩΣΗ / ΔΙΑΤΑΓΜΑΤΑ,109,109,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
642,ΠΑΡΑΝΟΜΑ ΔΙΑΜΕΝΟΝΤΕΣ,,,TRUE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
643,ΠΤΩΜΑΤΙΚΟΣ ΔΟΤΗΣ,128,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
644,ΖΩΝΤΑΣ ΔΟΤΗΣ,138,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
645,ΔΥΝΗΤΙΚΟΣ/ΠΙΘΑΝΟΣ ΔΟΤΗΣ,,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
646,ΔΗΜΟΣΙΑ ΥΓΕΙΑ – ΑΝΙΧΝΕΥΣΗ/ΠΡΟΛΗΨΗ,,,FALSE,0.00,SET,,FALSE,,Μονάδα Ελέγχου Εσόδων 22/09/2026,,0,FALSE
